perturbation,top_features_masked,test_accuracy,test_macro_f1,test_bot_precision,test_bot_recall,mean_abs_prob_shift,mean_bot_prob
full_graph,,0.8636039886039886,0.8495219591259697,0.7699115044247787,0.8401287553648069,0.0,0.3890102505683899
drop_similar_profile,,0.8094729344729344,0.768947111977321,0.7835714285714286,0.5885193133047211,0.1178506463766098,0.29661068320274353
drop_hashtag_and_url_edges,,0.8338675213675214,0.8221588960381632,0.701427953266984,0.8696351931330472,0.06646880507469177,0.43034201860427856
mask_top_user_features,"log1p_favourites_count,log1p_followers_count,average_tweets_per_day",0.7425213675213675,0.6887640992032009,0.6473906911142454,0.4924892703862661,0.19934304058551788,0.33472320437431335
