threshold,metric_accuracy_val,metric_macro_f1_val,metric_bot_precision_val,metric_bot_recall_val,metric_accuracy_test,metric_macro_f1_test,metric_bot_precision_test,metric_bot_recall_test
0.05,0.3888888888888889,0.28,0.3888888888888889,1.0,0.3333333333333333,0.25,0.3333333333333333,1.0
0.1,0.3888888888888889,0.28,0.3888888888888889,1.0,0.3333333333333333,0.25,0.3333333333333333,1.0
0.15,0.3888888888888889,0.28,0.3888888888888889,1.0,0.3333333333333333,0.25,0.3333333333333333,1.0
0.2,0.5555555555555556,0.5324675324675324,0.4666666666666667,1.0,0.3333333333333333,0.25,0.3333333333333333,1.0
0.25,0.5555555555555556,0.5324675324675324,0.42857142857142855,0.42857142857142855,0.5,0.4984520123839009,0.36363636363636365,0.6666666666666666
0.3,0.5555555555555556,0.5,0.4,0.2857142857142857,0.4444444444444444,0.3076923076923077,0.0,0.0
0.35,0.5555555555555556,0.4461538461538461,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.4,0.0,0.0
0.39999999999999997,0.5555555555555556,0.35714285714285715,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.44999999999999996,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.49999999999999994,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.5499999999999999,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.6,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.65,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.7,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.75,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.7999999999999999,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.85,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.9,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
0.95,0.6111111111111112,0.3793103448275862,0.0,0.0,0.6666666666666666,0.4,0.0,0.0
