perturbation,top_features_masked,test_accuracy,test_macro_f1,test_bot_precision,test_bot_recall,mean_abs_prob_shift,mean_bot_prob
full_graph,,0.5666666666666667,0.4222222222222222,0.2,0.1,0.0,0.39205092191696167
drop_similar_profile,,0.6,0.375,0.0,0.0,0.03137413412332535,0.38948148488998413
drop_hashtag_and_url_edges,,0.5666666666666667,0.466484268125855,0.2857142857142857,0.2,0.029378600418567657,0.4072813391685486
mask_top_user_features,"log1p_friends_count,default_profile_image",0.6333333333333333,0.5485636114911081,0.42857142857142855,0.3,0.027497656643390656,0.4041517376899719
