metric,mean,std,min,max
test_accuracy,0.881113485280152,0.0012192924135905861,0.8801638176638177,0.8828347578347578
test_macro_f1,0.8613035721007236,0.0015716025701779993,0.8598742498290957,0.863492234708978
test_bot_precision,0.8670552322569248,0.0019612895339724185,0.8643031784841075,0.8687306501547988
test_bot_recall,0.7580472103004291,0.004178584207992844,0.7526824034334764,0.7628755364806867
