seed,model,test_accuracy,test_macro_f1,test_bot_precision,test_bot_recall
42,baseline,0.8803418803418803,0.8605442317640972,0.8643031784841075,0.7585836909871244
43,baseline,0.8828347578347578,0.863492234708978,0.8681318681318682,0.7628755364806867
44,baseline,0.8801638176638177,0.8598742498290957,0.8687306501547988,0.7526824034334764
42,hetero_gnn,0.8564814814814815,0.8420415900865194,0.7575462512171373,0.8347639484978541
43,hetero_gnn,0.854522792022792,0.8403181253484786,0.7520462205103514,0.8379828326180258
44,hetero_gnn,0.8600427350427351,0.8453317127564924,0.7668316831683168,0.8310085836909872
