perturbation,test_accuracy,test_macro_f1,test_bot_precision,test_bot_recall,mean_abs_prob_shift
clean,0.8625356125356125,0.8484523766912448,0.7676470588235295,0.8401287553648069,0.0
light_rewrite,0.8274572649572649,0.809482698591796,0.7207696102614701,0.7837982832618026,0.0889127105474472
hashtag_injection,0.8263888888888888,0.8032753737708618,0.7432950191570882,0.7285407725321889,0.1111423596739769
url_injection,0.8315527065527065,0.8111975072425861,0.7405660377358491,0.7580472103004292,0.08889026939868927
combined_attack,0.8413461538461539,0.8198235451385794,0.7686361126449476,0.7467811158798283,0.09097792208194733
