threshold,metric_accuracy_val,metric_macro_f1_val,metric_bot_precision_val,metric_bot_recall_val,metric_accuracy_test,metric_macro_f1_test,metric_bot_precision_test,metric_bot_recall_test
0.05,0.6196581196581197,0.6193644193644193,0.46519959058341864,0.9753218884120172,0.6219729344729344,0.6216463378933723,0.46693898391626243,0.9812231759656652
0.1,0.6990740740740741,0.6978324255927821,0.5256485849056604,0.9565450643776824,0.6971153846153846,0.6960595636733753,0.5238234434375914,0.9613733905579399
0.15,0.7423433048433048,0.7388775440462787,0.5671497584541063,0.9447424892703863,0.7384259259259259,0.7352300878914753,0.5629984051036683,0.9468884120171673
0.2,0.7701210826210826,0.7647962813561309,0.5985552115583075,0.9334763948497854,0.7649572649572649,0.7598880597014925,0.5926430517711172,0.9334763948497854
0.25,0.791488603988604,0.784504905162918,0.626413717621306,0.921137339055794,0.7875712250712251,0.7809134850494661,0.6209880995311936,0.9238197424892703
0.3,0.8087606837606838,0.8002993068265796,0.6521571648690293,0.9082618025751072,0.8082264957264957,0.7998788175443053,0.6510556621880998,0.9098712446351931
0.35,0.8267450142450142,0.8169198061236267,0.6817625458996328,0.8964592274678111,0.8249643874643875,0.8150059210873984,0.6798693344222132,0.8932403433476395
0.39999999999999997,0.8388532763532763,0.8278636430834696,0.7055293613373339,0.8830472103004292,0.8413461538461539,0.8297276513407955,0.7129102844638949,0.8739270386266095
0.44999999999999996,0.8530982905982906,0.8405579357270084,0.7386311437758383,0.8626609442060086,0.8518518518518519,0.8389066268316847,0.7388888888888889,0.8562231759656652
0.49999999999999994,0.8627136752136753,0.8483385735524132,0.7701433514582303,0.8358369098712446,0.8627136752136753,0.8487751179772336,0.7669760625305325,0.842274678111588
0.5499999999999999,0.8664529914529915,0.8504325737116711,0.7910135841170324,0.8122317596566524,0.8694800569800569,0.8544441403972804,0.7904468412942989,0.8256437768240343
0.6,0.8685897435897436,0.8505745187034943,0.8124306326304107,0.7854077253218884,0.8721509971509972,0.8553096697334616,0.8120915032679739,0.799892703862661
0.65,0.8705484330484331,0.8503551983659567,0.8365896980461812,0.7580472103004292,0.8732193732193733,0.8541215257023311,0.8348837209302326,0.7703862660944206
0.7,0.8698361823361823,0.8470165059337851,0.8578648136449779,0.7285407725321889,0.8721509971509972,0.8502430702256355,0.8572319201995012,0.7376609442060086
0.75,0.8655626780626781,0.8387798296839897,0.8790157211209843,0.6899141630901288,0.8721509971509972,0.8476539476873768,0.882,0.7097639484978541
0.7999999999999999,0.8605769230769231,0.8297729552745059,0.896551724137931,0.6555793991416309,0.8664529914529915,0.838105580068629,0.8972895863052782,0.674892703862661
0.85,0.8532763532763533,0.8168703382425571,0.9166666666666666,0.6137339055793991,0.8566595441595442,0.8224545816671891,0.9114219114219114,0.6292918454935622
0.9,0.844551282051282,0.8010953136073674,0.9396628216503993,0.5681330472103004,0.8466880341880342,0.8048225466315737,0.9357080799304952,0.5777896995708155
0.95,0.8242521367521367,0.7651669314738493,0.9689839572192513,0.48605150214592274,0.823539886039886,0.766211288612146,0.9495365602471678,0.4946351931330472
