variant,best_epoch,val_accuracy,val_macro_f1,val_bot_precision,val_bot_recall,test_accuracy,test_macro_f1,test_bot_precision,test_bot_recall
profile_only,80,0.8500712250712251,0.8340695742005031,0.7544820717131474,0.8127682403433476,0.8502492877492878,0.8354349133984322,0.7474600870827286,0.828862660944206
profile_plus_text,80,0.8457977207977208,0.8312293637121144,0.7373929590865842,0.8315450643776824,0.8459757834757835,0.8317120097874918,0.7359470949456779,0.8358369098712446
plus_similar_profile,80,0.8520299145299145,0.837657456557096,0.7481979817395483,0.8353004291845494,0.854522792022792,0.84065073437493,0.7498806682577566,0.8428111587982833
plus_co_hashtag,80,0.8548789173789174,0.839915314297494,0.7577395577395577,0.8272532188841202,0.8570156695156695,0.8424610524416128,0.7594132029339853,0.8331545064377682
plus_co_url,80,0.8520299145299145,0.8370454362853884,0.7520741825280625,0.8267167381974249,0.8564814814814815,0.8420415900865194,0.7575462512171373,0.8347639484978541
full,80,0.8509615384615384,0.8361405715917131,0.7489093553078041,0.828862660944206,0.8554131054131054,0.8410160930959404,0.7550921435499515,0.8353004291845494
